Name,Pclass,Sex,Age,Survived
"Allison, Miss. Helen Loraine",1,female,2,0
"Carter, Miss. Lucile Polk",1,female,14,1
"Madill, Miss. Georgette Alexandra",1,female,15,1
"Hippach, Miss. Jean Gertrude",1,female,16,1
"Maioni, Miss. Roberta",1,female,16,1
"Lines, Miss. Mary Conover",1,female,16,1
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,female,17,1
"Dick, Mrs. Albert Adrian (Vera Gillespie)",1,female,17,1
"Ryerson, Miss. Emily Borie",1,female,18,1
"Taussig, Miss. Ruth",1,female,18,1
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",1,female,18,1
"Newsom, Miss. Helen Monypeny",1,female,19,1
"Bishop, Mrs. Dickinson H (Helen Walton)",1,female,19,1
"Graham, Miss. Margaret Edith",1,female,19,1
"Longley, Miss. Gretchen Fiske",1,female,21,1
"Ryerson, Miss. Susan Parker ""Suzette""",1,female,21,1
"Pears, Mrs. Thomas (Edith Wearne)",1,female,22,1
"Bowerman, Miss. Elsie Edith",1,female,22,1
"Frolicher, Miss. Hedwig Margaritha",1,female,22,1
"Cleaver, Miss. Alice",1,female,22,1
"Fortune, Miss. Mabel Helen",1,female,23,1
"Newell, Miss. Marjorie",1,female,23,1
"Hays, Miss. Margaret Bechstein",1,female,24,1
"Fortune, Miss. Alice Elizabeth",1,female,24,1
"Aubart, Mme. Leontine Pauline",1,female,24,1
"Sagesser, Mlle. Emma",1,female,24,1
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",1,female,24,1
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",1,female,25,0
"Barber, Miss. Ellen ""Nellie""",1,female,26,1
"Allen, Miss. Elisabeth Walton",1,female,29,1
"Cherry, Miss. Gladys",1,female,30,1
"Francatelli, Miss. Laura Mabel",1,female,30,1
"Perreault, Miss. Anne",1,female,30,1
"LeRoy, Miss. Bertha",1,female,30,1
"Serepeca, Miss. Augusta",1,female,30,1
"Newell, Miss. Madeleine",1,female,31,1
"Wick, Miss. Mary Natalie",1,female,31,1
"Bazzani, Miss. Albina",1,female,32,1
"Minahan, Miss. Daisy E",1,female,33,1
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",1,female,33,1
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,female,33,1
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,female,35,1
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,female,35,1
"Ward, Miss. Anna",1,female,35,1
"Bissette, Miss. Amelia",1,female,35,1
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",1,female,35,1
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",1,female,35,1
"Young, Miss. Marie Grice",1,female,36,1
"Crosby, Miss. Harriet R",1,female,36,1
"Carter, Mrs. William Ernest (Lucile Polk)",1,female,36,1
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,female,38,1
"Icard, Miss. Amelie",1,female,38,1
"Endres, Miss. Caroline Louise",1,female,38,1
"Taussig, Mrs. Emil (Tillie Mandelbaum)",1,female,39,1
"Silvey, Mrs. William Baird (Alice Munger)",1,female,39,1
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",1,female,39,1
"Compton, Miss. Sara Rebecca",1,female,39,1
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1,female,40,1
"Shutes, Miss. Elizabeth W",1,female,40,1
"Burns, Miss. Elizabeth Margaret",1,female,41,1
"Bidois, Miss. Rosalie",1,female,42,1
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",1,female,43,1
"Brown, Mrs. James Joseph (Margaret Tobin)",1,female,44,1
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",1,female,44,1
"Wick, Mrs. George Dennick (Mary Hitchcock)",1,female,45,1
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",1,female,47,1
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",1,female,48,1
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",1,female,48,1
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,female,49,1
"Leader, Dr. Alice (Farnham)",1,female,49,1
"Isham, Miss. Ann Elizabeth",1,female,50,0
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,female,50,1
"Hogeboom, Mrs. John C (Anna Andrews)",1,female,51,1
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",1,female,52,1
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",1,female,52,1
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",1,female,53,1
"Eustis, Miss. Elizabeth Mussey",1,female,54,1
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",1,female,54,1
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",1,female,56,1
"Bonnell, Miss. Elizabeth",1,female,58,1
"Lurette, Miss. Elise",1,female,58,1
"Graham, Mrs. William Thompson (Edith Junkins)",1,female,58,1
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,female,60,1
"Stone, Mrs. George Nelson (Martha Evelyn)",1,female,62,1
"Andrews, Miss. Kornelia Theodosia",1,female,63,1
"Allison, Master. Hudson Trevor",1,male,0.92,1
"Dodge, Master. Washington",1,male,4,1
"Carter, Master. William Thornton II",1,male,11,1
"Thayer, Mr. John Borland Jr",1,male,17,1
"Penasco y Castellana, Mr. Victor de Satode",1,male,18,0
"Fortune, Mr. Charles Alexander",1,male,19,0
"Marvin, Mr. Daniel Warner",1,male,19,0
"White, Mr. Richard Frasar",1,male,21,0
"Ringhini, Mr. Sante",1,male,22,0
"Greenfield, Mr. William Bertram",1,male,23,1
"Baxter, Mr. Quigg Edmond",1,male,24,0
"Giglio, Mr. Victor",1,male,24,0
"Harder, Mr. George Achilles",1,male,25,1
"Bishop, Mr. Dickinson H",1,male,25,1
"Behr, Mr. Karl Howell",1,male,26,1
"Widener, Mr. Harry Elkins",1,male,27,0
"Daniel, Mr. Robert Williams",1,male,27,1
"Hassab, Mr. Hammad",1,male,27,1
"Chambers, Mr. Norman Campbell",1,male,27,1
"Sloper, Mr. William Thompson",1,male,28,1
"Meyer, Mr. Edgar Joseph",1,male,28,0
"Carrau, Mr. Francisco M",1,male,28,0
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1,male,28,1
"Pears, Mr. Thomas Clinton",1,male,29,0
"Long, Mr. Milton Clyde",1,male,29,0
"Foreman, Mr. Benjamin Laventall",1,male,30,0
"Davidson, Mr. Thornton",1,male,31,0
"Dick, Mr. Albert Adrian",1,male,31,1
"Roebling, Mr. Washington Augustus II",1,male,31,0
"Stahelin-Maeglin, Dr. Max",1,male,32,1
"Carlsson, Mr. Frans Olof",1,male,33,0
"Seward, Mr. Frederic Kimber",1,male,34,1
"Homer, Mr. Harry (""Mr E Haven"")",1,male,35,1
"Silverthorne, Mr. Spencer Victor",1,male,35,1
"Lesurer, Mr. Gustave J",1,male,35,1
"Carter, Mr. William Ernest",1,male,36,1
